date,tournament,season,team_a,score_a,team_b,score_b,neutral,tier
2021-11-29,WC Qualifiers,2023,MEX,97,USA,88,False,0.5
2021-11-29,WC Qualifiers,2023,PUR,69,CUB,60,False,0.5
2021-11-29,WC Qualifiers,2023,SYR,71,KAZ,81,False,0.5
2022-02-24,WC Qualifiers,2023,BHR,64,SYR,80,False,0.5
2022-02-24,WC Qualifiers,2023,CUB,72,MEX,82,False,0.5
2022-02-24,WC Qualifiers,2023,IRI,69,KAZ,73,False,0.5
2022-02-24,WC Qualifiers,2023,JOR,74,LBN,63,False,0.5
2022-02-24,WC Qualifiers,2023,KSA,95,INA,66,False,0.5
2022-02-24,WC Qualifiers,2023,NZL,101,IND,46,False,0.5
2022-02-24,WC Qualifiers,2023,USA,93,PUR,76,False,0.5
2022-02-25,WC Qualifiers,2023,ARG,58,VEN,71,False,0.5
2022-02-25,WC Qualifiers,2023,AUS,98,TPE,61,False,0.5
2022-02-25,WC Qualifiers,2023,BRA,85,URU,66,False,0.5
2022-02-25,WC Qualifiers,2023,CHI,90,COL,76,False,0.5
2022-02-25,WC Qualifiers,2023,CMR,51,TUN,55,False,0.5
2022-02-25,WC Qualifiers,2023,IND,64,PHI,88,False,0.5
2022-02-25,WC Qualifiers,2023,KEN,56,COD,66,False,0.5
2022-02-25,WC Qualifiers,2023,PAR,59,PAN,81,False,0.5
2022-02-25,WC Qualifiers,2023,SEN,75,EGY,57,False,0.5
2022-02-25,WC Qualifiers,2023,SSD,68,RWA,56,False,0.5
2022-02-26,WC Qualifiers,2023,ARG,65,PAN,58,False,0.5
2022-02-26,WC Qualifiers,2023,BAH,86,ISV,74,False,0.5
2022-02-26,WC Qualifiers,2023,CAN,85,DOM,79,False,0.5
2022-02-26,WC Qualifiers,2023,COD,62,SEN,57,False,0.5
2022-02-26,WC Qualifiers,2023,EGY,105,KEN,51,False,0.5
2022-02-26,WC Qualifiers,2023,PAR,48,VEN,97,False,0.5
2022-02-26,WC Qualifiers,2023,RWA,45,CMR,57,False,0.5
2022-02-26,WC Qualifiers,2023,TPE,71,JPN,76,False,0.5
2022-02-26,WC Qualifiers,2023,TUN,64,SSD,72,False,0.5
2022-02-27,WC Qualifiers,2023,AUS,80,JPN,64,False,0.5
2022-02-27,WC Qualifiers,2023,BAH,65,DOM,90,False,0.5
2022-02-27,WC Qualifiers,2023,BHR,48,KAZ,95,False,0.5
2022-02-27,WC Qualifiers,2023,CAN,94,ISV,46,False,0.5
2022-02-27,WC Qualifiers,2023,CUB,62,PUR,65,False,0.5
2022-02-27,WC Qualifiers,2023,EGY,62,COD,51,False,0.5
2022-02-27,WC Qualifiers,2023,IRI,80,SYR,68,False,0.5
2022-02-27,WC Qualifiers,2023,JOR,94,INA,64,False,0.5
2022-02-27,WC Qualifiers,2023,KEN,55,SEN,100,False,0.5
2022-02-27,WC Qualifiers,2023,KSA,68,LBN,81,False,0.5
2022-02-27,WC Qualifiers,2023,NZL,88,PHI,63,False,0.5
2022-02-27,WC Qualifiers,2023,SSD,74,CMR,68,False,0.5
2022-02-27,WC Qualifiers,2023,TUN,65,RWA,51,False,0.5
2022-02-27,WC Qualifiers,2023,USA,89,MEX,67,False,0.5
2022-02-28,WC Qualifiers,2023,BRA,119,COL,73,False,0.5
2022-02-28,WC Qualifiers,2023,CHI,67,URU,78,False,0.5
2022-02-28,WC Qualifiers,2023,IND,60,NZL,95,False,0.5
2022-02-28,WC Qualifiers,2023,TPE,71,AUS,90,False,0.5
2022-06-30,WC Qualifiers,2023,AUS,76,CHN,69,False,0.5
2022-06-30,WC Qualifiers,2023,COL,67,CHI,66,False,0.5
2022-06-30,WC Qualifiers,2023,PAN,81,PAR,54,False,0.5
2022-06-30,WC Qualifiers,2023,PHI,60,NZL,106,False,0.5
2022-06-30,WC Qualifiers,2023,URU,60,BRA,73,False,0.5
2022-06-30,WC Qualifiers,2023,VEN,66,ARG,69,False,0.5
2022-07-01,WC Qualifiers,2023,ANG,73,CIV,75,False,0.5
2022-07-01,WC Qualifiers,2023,CAF,61,GUI,56,False,0.5
2022-07-01,WC Qualifiers,2023,CHN,94,TPE,58,False,0.5
2022-07-01,WC Qualifiers,2023,COD,20,KEN,0,False,0.5
2022-07-01,WC Qualifiers,2023,DOM,75,CAN,95,False,0.5
2022-07-01,WC Qualifiers,2023,EGY,76,SEN,43,False,0.5
2022-07-01,WC Qualifiers,2023,INA,67,KSA,69,False,0.5
2022-07-01,WC Qualifiers,2023,ISV,80,BAH,97,False,0.5
2022-07-01,WC Qualifiers,2023,JPN,52,AUS,98,False,0.5
2022-07-01,WC Qualifiers,2023,KAZ,68,IRI,60,False,0.5
2022-07-01,WC Qualifiers,2023,LBN,89,JOR,70,False,0.5
2022-07-01,WC Qualifiers,2023,MEX,75,CUB,66,False,0.5
2022-07-01,WC Qualifiers,2023,NGR,70,CPV,79,False,0.5
2022-07-01,WC Qualifiers,2023,PUR,75,USA,83,False,0.5
2022-07-01,WC Qualifiers,2023,RWA,63,SSD,73,False,0.5
2022-07-01,WC Qualifiers,2023,SYR,67,BHR,76,False,0.5
2022-07-01,WC Qualifiers,2023,TUN,65,CMR,54,False,0.5
2022-07-02,WC Qualifiers,2023,CIV,73,CAF,63,False,0.5
2022-07-02,WC Qualifiers,2023,CMR,52,RWA,59,False,0.5
2022-07-02,WC Qualifiers,2023,CPV,87,UGA,78,False,0.5
2022-07-02,WC Qualifiers,2023,GUI,65,ANG,85,False,0.5
2022-07-02,WC Qualifiers,2023,KEN,39,EGY,72,False,0.5
2022-07-02,WC Qualifiers,2023,SEN,60,COD,72,False,0.5
2022-07-02,WC Qualifiers,2023,SSD,75,TUN,61,False,0.5
2022-07-03,WC Qualifiers,2023,ANG,76,CAF,60,False,0.5
2022-07-03,WC Qualifiers,2023,CHN,48,AUS,71,False,0.5
2022-07-03,WC Qualifiers,2023,CMR,55,SSD,67,False,0.5
2022-07-03,WC Qualifiers,2023,COD,52,EGY,80,False,0.5
2022-07-03,WC Qualifiers,2023,COL,104,BRA,98,False,0.5
2022-07-03,WC Qualifiers,2023,GUI,56,CIV,65,False,0.5
2022-07-03,WC Qualifiers,2023,JPN,89,TPE,49,False,0.5
2022-07-03,WC Qualifiers,2023,NGR,91,UGA,72,False,0.5
2022-07-03,WC Qualifiers,2023,PAN,77,ARG,88,False,0.5
2022-07-03,WC Qualifiers,2023,PHI,79,IND,63,False,0.5
2022-07-03,WC Qualifiers,2023,RWA,66,TUN,76,False,0.5
2022-07-03,WC Qualifiers,2023,SEN,86,KEN,54,False,0.5
2022-07-03,WC Qualifiers,2023,URU,75,CHI,65,False,0.5
2022-07-03,WC Qualifiers,2023,VEN,87,PAR,59,False,0.5
2022-07-04,WC Qualifiers,2023,CUB,64,USA,87,False,0.5
2022-07-04,WC Qualifiers,2023,DOM,88,BAH,80,False,0.5
2022-07-04,WC Qualifiers,2023,INA,52,JOR,77,False,0.5
2022-07-04,WC Qualifiers,2023,ISV,67,CAN,113,False,0.5
2022-07-04,WC Qualifiers,2023,KAZ,51,BHR,62,False,0.5
2022-07-04,WC Qualifiers,2023,LBN,90,KSA,60,False,0.5
2022-07-04,WC Qualifiers,2023,PUR,97,MEX,87,False,0.5
2022-07-04,WC Qualifiers,2023,SYR,56,IRI,91,False,0.5
2022-07-04,WC Qualifiers,2023,TPE,56,CHN,97,False,0.5
2022-07-12,FIBA Asia Cup,2022,CHN,81,KOR,93,True,0.7
2022-07-12,FIBA Asia Cup,2022,JOR,60,AUS,78,True,0.7
2022-07-12,FIBA Asia Cup,2022,KSA,54,INA,80,True,0.7
2022-07-12,FIBA Asia Cup,2022,TPE,102,BHR,84,True,0.7
2022-07-13,FIBA Asia Cup,2022,IND,47,NZL,100,True,0.7
2022-07-13,FIBA Asia Cup,2022,IRI,80,SYR,67,True,0.7
2022-07-13,FIBA Asia Cup,2022,JPN,100,KAZ,68,True,0.7
2022-07-13,FIBA Asia Cup,2022,LBN,95,PHI,80,True,0.7
2022-07-14,FIBA Asia Cup,2022,AUS,76,KSA,52,True,0.7
2022-07-14,FIBA Asia Cup,2022,BHR,79,CHN,80,True,0.7
2022-07-14,FIBA Asia Cup,2022,INA,65,JOR,74,True,0.7
2022-07-14,FIBA Asia Cup,2022,KOR,87,TPE,73,True,0.7
2022-07-15,FIBA Asia Cup,2022,KAZ,60,IRI,96,True,0.7
2022-07-15,FIBA Asia Cup,2022,NZL,72,LBN,86,True,0.7
2022-07-15,FIBA Asia Cup,2022,PHI,101,IND,59,True,0.7
2022-07-15,FIBA Asia Cup,2022,SYR,56,JPN,117,True,0.7
2022-07-16,FIBA Asia Cup,2022,AUS,78,INA,53,True,0.7
2022-07-16,FIBA Asia Cup,2022,KOR,78,BHR,73,True,0.7
2022-07-16,FIBA Asia Cup,2022,KSA,64,JOR,74,True,0.7
2022-07-16,FIBA Asia Cup,2022,TPE,80,CHN,95,True,0.7
2022-07-17,FIBA Asia Cup,2022,IND,63,LBN,104,True,0.7
2022-07-17,FIBA Asia Cup,2022,IRI,88,JPN,76,True,0.7
2022-07-17,FIBA Asia Cup,2022,KAZ,67,SYR,77,True,0.7
2022-07-17,FIBA Asia Cup,2022,PHI,75,NZL,92,True,0.7
2022-07-18,FIBA Asia Cup,2022,CHN,108,INA,58,True,0.7
2022-07-18,FIBA Asia Cup,2022,JOR,97,TPE,96,True,0.7
2022-07-19,FIBA Asia Cup,2022,JPN,102,PHI,81,True,0.7
2022-07-19,FIBA Asia Cup,2022,NZL,97,SYR,58,True,0.7
2022-07-20,FIBA Asia Cup,2022,IRI,76,JOR,91,True,0.7
2022-07-20,FIBA Asia Cup,2022,LBN,72,CHN,69,True,0.7
2022-07-21,FIBA Asia Cup,2022,AUS,99,JPN,85,True,0.7
2022-07-21,FIBA Asia Cup,2022,KOR,78,NZL,88,True,0.7
2022-07-23,FIBA Asia Cup,2022,AUS,85,NZL,76,True,0.7
2022-07-23,FIBA Asia Cup,2022,JOR,85,LBN,86,True,0.7
2022-07-24,FIBA Asia Cup,2022,JOR,75,NZL,83,True,0.7
2022-07-24,FIBA Asia Cup,2022,LBN,73,AUS,75,True,0.7
2022-08-24,WC Qualifiers,2023,ESP,87,ISL,57,False,0.5
2022-08-24,WC Qualifiers,2023,FRA,95,CZE,60,False,0.5
2022-08-24,WC Qualifiers,2023,GEO,77,NED,66,False,0.5
2022-08-24,WC Qualifiers,2023,HUN,78,LTU,88,False,0.5
2022-08-24,WC Qualifiers,2023,MNE,88,BIH,69,False,0.5
2022-08-24,WC Qualifiers,2023,UKR,89,ITA,97,False,0.5
2022-08-25,WC Qualifiers,2023,BAH,81,VEN,86,False,0.5
2022-08-25,WC Qualifiers,2023,BEL,72,GBR,57,False,0.5
2022-08-25,WC Qualifiers,2023,BHR,50,AUS,104,False,0.5
2022-08-25,WC Qualifiers,2023,CAN,99,ARG,87,False,0.5
2022-08-25,WC Qualifiers,2023,DOM,70,PAN,61,False,0.5
2022-08-25,WC Qualifiers,2023,FIN,79,ISR,73,False,0.5
2022-08-25,WC Qualifiers,2023,IRI,79,JPN,68,False,0.5
2022-08-25,WC Qualifiers,2023,JOR,80,IND,64,False,0.5
2022-08-25,WC Qualifiers,2023,KAZ,56,CHN,68,False,0.5
2022-08-25,WC Qualifiers,2023,KSA,65,NZL,80,False,0.5
2022-08-25,WC Qualifiers,2023,LAT,111,TUR,85,False,0.5
